Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0678,03/10/2025,03/11/2025,FACEBK *XSPT8KYXC2,Professional Services,Sale,-3.00,
0678,03/10/2025,03/11/2025,FACEBK *LRN8XLLXC2,Professional Services,Sale,-3.00,
0678,03/09/2025,03/10/2025,FACEBK *CZ58VLLXC2,Professional Services,Sale,-2.00,
0678,03/10/2025,03/10/2025,FACEBK *42QD2L4YC2,Professional Services,Sale,-3.00,
0678,03/09/2025,03/10/2025,FACEBK *VM27VKGXC2,Professional Services,Sale,-3.00,
0678,03/09/2025,03/10/2025,FACEBK *Q746ALUTB2,Professional Services,Sale,-35.00,
0678,03/09/2025,03/10/2025,FACEBK *WS7N8K8XC2,Professional Services,Sale,-2.00,
0678,03/09/2025,03/09/2025,FACEBK *JHPNYK4YC2,Professional Services,Sale,-2.00,
0678,03/08/2025,03/09/2025,FACEBK *3VWPVJQXC2,Professional Services,Sale,-2.00,
0678,03/08/2025,03/09/2025,FACEBK *NHBYUK8TB2,Professional Services,Sale,-16.27,
0678,03/08/2025,03/09/2025,FACEBK *5JLVMKQTB2,Professional Services,Sale,-7.02,
0678,03/08/2025,03/09/2025,FACEBK *6TTZVJQXC2,Professional Services,Sale,-2.00,
0678,03/08/2025,03/09/2025,FACEBK *46CYSKGXC2,Professional Services,Sale,-2.00,
0678,03/08/2025,03/09/2025,FACEBK *VMQ8TKGXC2,Professional Services,Sale,-2.00,
0678,03/08/2025,03/09/2025,FACEBK *CFJKTKGXC2,Professional Services,Sale,-2.00,
0678,03/08/2025,03/09/2025,FACEBK *YS4UBL85Y2,Professional Services,Sale,-18.12,
0678,03/06/2025,03/06/2025,Payment Thank You-Mobile,,Payment,1000.00,
0678,03/05/2025,03/06/2025,CANVA* I04446-57657062,Professional Services,Sale,-15.00,
0678,03/05/2025,03/06/2025,FACEBK *LCRVUKU4Y2,Professional Services,Sale,-54.00,
0678,03/05/2025,03/06/2025,NAME-CHEAP.COM* VHLGNZ,Professional Services,Sale,-17.16,
0678,03/06/2025,03/06/2025,DESCRIPT,Office & Shipping,Sale,-25.58,
0678,03/04/2025,03/05/2025,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-21.28,
0678,02/28/2025,03/02/2025,ELEVENLABS.IO,Office & Shipping,Sale,-5.33,
0678,02/28/2025,03/02/2025,AARON ABKE,Merchandise & Inventory,Sale,-99.00,
0678,03/01/2025,03/02/2025,10WEB.IO,Professional Services,Sale,-136.00,
0678,03/01/2025,03/02/2025,GOOGLE *ADS9531160466,Professional Services,Sale,-132.70,
0678,03/01/2025,03/02/2025,GOOGLE *GSUITE_kuriosb,Office & Shipping,Sale,-14.40,
